f1_entropy,f2_strings_density,f3_log_size,label
3.7362547,2.164465,4.691992,1
4.570867,4.42734,5.0221725,1
4.9745383,0.7826087,4.9740925,1
6.3717937,13.263158,5.6782207,1
6.371789,13.263158,5.6782207,1
5.2172117,2.9958858,4.5160594,1
5.204369,2.7172573,4.515702,1
5.225978,3.1537476,4.5158076,1
5.2268624,2.8414955,4.5158076,1
5.2186656,2.9282954,4.516826,1
4.655095,2.4707775,4.613112,1
7.8953238,16.227179,6.075898,1
5.1398263,2.0241935,5.103725,1
5.13931,2.0564516,5.103725,1
5.122263,3.0654206,4.738662,1
5.6208634,3.5326087,5.2751203,1
5.671726,2.5568628,5.416842,1
5.717745,2.1828358,5.4384365,1
4.519406,2.570983,4.6130486,1
4.519406,2.5724878,4.6127944,1
5.2676797,2.857143,4.508624,1
5.194802,2.9822779,4.508893,1
5.200266,2.8529859,4.5092564,1
5.192463,2.9772046,4.5096326,1
4.7648144,1.6973684,4.891119,1
4.5285006,2.6189897,4.613366,1
5.704271,2.155303,5.4319053,1
1.8847622,4.225,4.6123705,0
5.89917,11.241936,5.94882,0
5.6123652,14.996754,5.4988523,0
6.5460267,14.832392,6.513049,0
5.3691463,13.581731,5.3283653,0
4.739869,11.970589,5.143842,0
2.254702,6.75,4.6915503,0
4.985071,10.842105,5.1921463,0
2.6790266,7.125,4.6915503,0
4.2988653,11.463651,4.898906,0
4.296062,12.584598,4.98455,0
5.9358244,11.385,5.9133906,0
4.6723046,8.025012,6.1298475,0
5.91355,10.873015,5.411702,0
5.692786,13.207273,5.8987255,0
4.691778,20.236925,5.2876964,0
4.8112564,10.835151,5.2137647,0
4.6496663,20.528093,5.26873,0
4.9935308,18.829939,5.3709364,0
2.9601982,7.6875,4.6915503,0
4.961707,11.719697,5.130877,0
3.4711914,9.958333,4.6915503,0
4.9764876,12.47973,5.1805644,0
2.8433855,6.2045455,4.6537623,0
5.869089,12.486502,5.945268,0
3.7356598,10.8,4.7884583,0
4.9304166,12.363967,5.2000866,0
5.2800975,11.930392,6.0189004,0
4.4560113,11.967391,4.9740925,0
3.3016703,3.0119047,4.934584,0
1.4128801,7.4828897,4.7032657,0
2.9741817,4.8333335,4.7884583,0
5.0746303,10.57971,5.4512105,0
4.5933537,7.351696,5.7173653,0
5.931352,22.901869,5.6417446,0
6.032962,10.493421,5.1921463,0
4.091233,11.325,4.9133954,0
6.2778673,10.984701,5.457217,0
5.786521,19.716433,5.8319473,0
5.699312,12.085107,5.28446,0
5.7424088,8.967742,5.103725,0
5.7487845,8.975806,5.103725,0
4.6059966,6.415254,5.3832135,0
3.3681536,8.846154,4.7263117,0
4.1755586,10.730648,5.049346,0
2.8724427,7.25,4.6915503,0
5.0813737,12.506411,5.2034273,0
3.7898424,10.925152,4.8261847,0
2.5492525,5.8088236,4.842815,0
4.83951,12.330358,5.0595217,0
3.4748669,9.5,4.7884583,0
2.137783,3.8125,4.6915503,0
3.011867,8.294051,4.8016577,0
4.0515223,10.051601,4.965677,0
4.9475975,11.887931,5.0747614,0
5.664529,12.607693,5.726304,0
5.8365655,12.565246,6.2000713,0
2.3149803,6.75,4.6123705,0
4.254601,7.3479576,5.1121526,0
5.983226,11.642858,5.4574594,0
3.4160116,8.411765,4.842815,0
2.8314967,7.5,4.6915503,0
3.0318437,8.166667,4.6915503,0
2.8502033,7.5,4.6537623,0
2.8925338,6.423077,4.7263117,0
2.8870404,7.4772725,4.6537623,0
3.6449978,7.785714,4.7584953,0
3.3494184,9.15625,4.8164864,0
3.9541223,11.539474,4.891119,0
5.556493,14.348983,5.582483,0
5.3819466,10.086667,5.4874225,0
2.9250133,4.769231,4.7263117,0
3.4072797,7.017857,4.7584953,0
5.3888803,11.606383,5.28446,0
4.864972,12.13592,5.1607475,0
7.069347,12.14942,6.052882,0
4.2451324,11.369689,4.9806805,0
4.4526114,12.841659,5.053359,0
5.562865,13.166667,5.5366406,0
2.3349607,5.5833335,4.6915503,0
4.239284,11.539474,4.891119,0
4.6458826,10.605769,5.0273376,0
4.809006,13.041667,5.0894847,0
3.0394375,9.0,4.6537623,0
5.863053,7.4259257,5.043728,0
3.1140213,5.8958335,4.6915503,0
3.9071205,10.777778,4.867638,0
5.151776,13.59952,5.27123,0
4.7203107,8.973214,5.0595217,0
4.735338,10.965517,5.0747614,0
4.2750783,8.861111,4.867638,0
5.995935,15.807927,6.0032954,0
5.0062413,12.52101,5.414132,0
5.6470175,6.325,5.0894847,0
2.7470727,7.3863635,4.6537623,0
5.2906175,13.856598,5.378385,0
3.9513311,10.3,4.9133954,0
5.609135,14.692091,5.6549935,0
5.27861,15.634793,5.3433237,0
3.4548717,7.890625,4.8164864,0
5.1272526,12.723404,5.28446,0
1.4513648,7.3529654,4.5863285,0
4.2952394,10.8529415,4.842815,0
5.07506,12.107142,5.0595217,0
3.8254483,11.0625,4.8164864,0
6.165226,17.200274,5.8615875,0
5.0553813,10.575,5.2144227,0
5.990978,13.023537,6.206753,0
4.2872953,4.852083,5.691542,0
5.334665,12.561225,5.3025584,0
5.4731784,13.742836,5.4276824,0
5.232313,12.239796,5.3025584,0
5.170434,12.72973,5.1805644,0
1.8003196,5.53125,4.5154634,0
3.3559115,3.6470587,4.842815,0
6.2475586,9.940678,5.3832135,0
3.805449,12.4,4.7884583,0
4.962457,12.197369,5.1921463,0
4.9870358,13.837838,5.1728625,0
4.612089,15.308333,5.0894847,0
2.4128234,4.9583335,4.6915503,0
5.6515765,15.873188,5.7522397,0
4.511877,7.4583335,5.0894847,0
4.393072,4.6086955,4.9740925,0
4.1148324,9.947369,4.891119,0
5.139501,10.814285,5.156431,0
3.5710816,9.779411,4.842815,0
5.106633,14.47093,5.245831,0
5.3522124,15.494186,5.245831,0
2.9866087,8.666667,4.6915503,0
5.8938456,27.758621,5.5518804,0
4.535313,15.625,4.9925756,0
4.290726,11.166667,4.867638,0
4.991341,10.170681,5.517366,0
5.098343,12.07,5.311332,0
1.271557,0.88088155,6.2735553,0
3.6650558,7.3846154,5.0273376,0
1.698237,6.8126087,4.7033343,0
1.7000775,4.025,4.6123705,0
5.186706,12.83,5.311332,0
3.1381981,8.4375,4.8164864,0
5.1320424,17.321428,5.235612,0
3.3716626,8.730769,4.7263117,0
3.7629964,10.366667,4.7884583,0
3.2836847,8.0,4.7884583,0
2.5686214,6.0227275,4.6537623,0
4.588749,7.15,5.010304,0
5.6934257,7.88,5.010304,0
1.6312073,3.9166667,4.566614,0
4.698853,11.394231,5.0273376,0
5.7743964,18.5,5.6417446,0
3.2812576,9.535714,4.7584953,0
5.7564163,10.013672,5.7195706,0
1.6678694,4.125,4.6123705,0
4.926189,13.429487,5.2034273,0
3.6483464,8.644737,4.891119,0
1.8984673,4.45,4.6123705,0
4.6788864,12.609375,5.117513,0
5.5441847,12.527344,5.4185414,0
5.0663996,10.50945,6.0762534,0
3.9661481,3.4158654,5.6293945,0
5.229859,8.80625,5.5154514,0
4.72139,13.203125,5.117513,0
5.2055564,11.733553,5.493175,0
2.4744647,6.25,4.6123705,0
5.0602455,10.147436,5.504456,0
4.1244464,11.501272,5.002637,0
4.3294687,14.434783,4.9740925,0
4.9833555,13.70122,5.2251463,0
4.345212,13.447917,4.9925756,0
4.8855953,12.592857,5.156431,0
1.9194989,5.025,4.6123705,0
